"OWNER";"TABLE_NAME";"NUM_ROWS";"LAST_ANALYZED"
DM_RISK_AVATAR;STG_DAMAGES;68499100;2026-07-06 10:06:36.000
DM_RISK_AVATAR;STG_DOCUMENTS;62679800;2026-07-06 13:43:23.000
DM_RISK_AVATAR;STG_EGRN_BOUNDS;0;2026-06-16 19:08:27.000
DM_RISK_AVATAR;STG_EGRN_CAD_OBJECT_PROCESSED;0;2026-06-16 19:08:28.000
DM_RISK_AVATAR;STG_EGRN_DATA;0;2026-06-16 19:08:28.000
DM_RISK_AVATAR;STG_EGRN_HASH;0;2026-06-16 19:08:28.000
DM_RISK_AVATAR;STG_EGRN_PREVIOUS_NUMBER;0;2026-06-16 19:08:28.000
DM_RISK_AVATAR;STG_EGRN_RIGHTS;0;2026-06-16 19:08:28.000
DM_RISK_AVATAR;STG_EGRN_RN;0;2026-06-16 19:08:28.000
DM_RISK_AVATAR;STG_EGRN_SPECIAL_MARKS;0;2026-06-16 19:08:28.000
DM_RISK_AVATAR;STG_ESTATE_OBJECTS;0;2026-07-05 20:50:37.000
DM_RISK_AVATAR;STG_INS_POTENTIAL_APARTMENTS;0;2026-07-05 20:50:37.000
DM_RISK_AVATAR;STG_INS_POTENTIAL_PRESENT_COVERAGE;0;2026-07-05 20:50:37.000
DM_RISK_AVATAR;STG_INTERESTS;0;2025-09-03 19:09:35.000
DM_RISK_AVATAR;STG_LEGAL_CLIENTS;3658700;2026-07-06 13:03:58.000
DM_RISK_AVATAR;STG_LNK_CLIENT_CONTRACT;0;2026-07-05 20:50:36.000
DM_RISK_AVATAR;STG_LNK_CLIENT_OBJECT_CONTRACT;0;2026-07-05 20:50:36.000
DM_RISK_AVATAR;STG_LOSSES;0;2026-07-05 18:38:24.000
DM_RISK_AVATAR;STG_LOSSES_EVENT;0;2026-07-05 20:50:37.000
DM_RISK_AVATAR;STG_LOSSES_OBJECT_PAY;0;2026-07-05 20:50:37.000
DM_RISK_AVATAR;STG_LOSSES_TASK;0;2026-07-05 20:50:37.000
DM_RISK_AVATAR;STG_MFB_IZD_AGR;0;2026-06-16 19:08:28.000
DM_RISK_AVATAR;STG_MZKH;0;2026-06-16 19:08:28.000
DM_RISK_AVATAR;STG_OSAGO_FIO_FULL;34724000;2026-07-06 09:26:22.000
DM_RISK_AVATAR;STG_PARTY_SRC;231540393;2026-07-06 11:08:15.000
DM_RISK_AVATAR;STG_PHYSICAL_CLIENTS;0;2026-07-05 20:50:37.000
DM_RISK_AVATAR;STG_PROPERTY_DEPENDENTS;0;2025-09-03 19:09:35.000
DM_RISK_AVATAR;STG_QUOTATIONS;195941500;2026-07-06 13:33:27.000
DM_RISK_AVATAR;STG_QUOTATIONS_PRECALC;335817483;2026-07-06 10:22:20.000
DM_RISK_AVATAR;STG_QUOTATION_CLIENTS;327670144;2026-07-06 12:50:40.000
DM_RISK_AVATAR;STG_SFERA_LOSSES;1747814;2026-07-06 09:25:23.000
DM_RISK_AVATAR;STG_SPRAVOCHNIK_ZUD_OBJADDRESS;11792098;2026-07-06 09:27:49.000
DM_RISK_AVATAR;STG_TRANSPORT;0;2026-07-05 20:50:36.000
DM_RISK_AVATAR;STG_TRANSPORT_SFERA_ZUD;3119614;2026-07-05 18:38:11.000
DM_RISK_AVATAR;TRANSPORT;22048247;2026-07-05 20:51:43.000
